path,modified,b3sum
.\Data\FNT.DAT,1998-05-28 19:36:40+10:00,9880f1b79e84aa7e2c9c551ab80cd6de95a901a8f76f69da26c4aa47b0255572
.\Data\LOOKAT.DAT,1998-09-21 20:40:08+10:00,48a8680c58ab54f2a9b42b84aa250ed70f092db840cd5d84c9bb30a1281d48ec
.\Data\TLONTXT.DAT,1998-09-21 20:40:12+10:00,dc06671ad408d9950ba570029336af8ae8b44f7e67efba00d1eef5be92913a84
.\Music\Music00.grp,1998-11-12 00:59:20+11:00,a71a7cf28f75b126bda095c529a07eb531fd722cd55bc6940238e4e113d83fde
.\Sfx\Sfx00.grp,1998-11-12 00:57:48+11:00,a73469592492fad200625284c05ddba9d28fcdefeb19cbe690bbd78bd5824b2c
.\Video\001.AVI,1998-10-30 10:40:06+11:00,1247246b6809260ac069133f5b59df26c29407e401da18b7f0edf84bef183bde
.\Video\002.AVI,1998-10-30 10:40:00+11:00,8c8e325cec5c0106af627b133abb69ab1ed98d15ab51966efd70f1d5137bbf3d
.\Video\003.AVI,1998-10-30 10:39:52+11:00,74714692f77cd5b12e945988bd9b0cb701fcafb6eccbae358b3280a0d21c5013
.\Video\004.AVI,1998-10-30 10:39:44+11:00,1f7b3cdfd840f62b23f199b7fbd76d179192fe3fadd3219c110ac3392eec7e70
.\Video\005.AVI,1998-10-30 10:39:38+11:00,007b437c960a43796c89ffc6794730f38e96c97cf58d2dc24c8b1b980744e328
.\Video\006.AVI,1998-10-30 10:39:28+11:00,45be39904b221762ce4d73550d6268d4c1831915d041b9bd639744282b9ac020
.\Video\007.AVI,1998-10-30 10:39:20+11:00,114056e887f30f7039ca8e2a34e8658916c7f8cd254452f35a313a1da308d9a3
.\Video\008.AVI,1998-10-30 10:39:14+11:00,165dcb4834c2f89a2e84b9c7dcb1875038ceb6d9c9136997e1322d34acdca4cf
.\Video\009.AVI,1998-10-30 10:39:08+11:00,cd967612f2e4bb3e9beff2bea1f576098ab08be2d2792dffba9e7050133030b1
.\Video\010.AVI,1998-10-30 10:39:00+11:00,c47d9c18e718ab3a6d6db306adff4905ca176960cabff09f352a4430b2c2db11
.\Video\011.AVI,1998-10-30 10:38:52+11:00,f6435a60b65a3eb7687a80a2a92dff1f63272f29a7d9d932baa560095c2e764b
.\Video\012.AVI,1998-10-30 10:38:44+11:00,6fb734b6b1a9a3d9eeb5203941e69f2d5ba20df21503a0a5d07d189c36541732
.\Video\013.AVI,1998-10-30 10:38:36+11:00,bfeda9fa17f08ac6c78050683a5897680d3993cbe76b2ad1baa2eeb1b8190737
.\Video\014.AVI,1998-10-30 10:38:30+11:00,96af7b3be12a3e8be2d19495390b030a7ed4b3f83c6359c38c2e586db2a8c8a7
.\Video\015.AVI,1998-10-30 10:38:22+11:00,b52cf3379bd057e1f5737606b03ff577630e445c0117875f233f21d2dbb17f06
.\Video\016.AVI,1998-10-30 10:38:14+11:00,ac2920f3333daa4d90cbdd01d8a5d8d8bb72fc916270580f17c0cc6c9707e539
.\Video\017.AVI,1998-10-30 10:38:06+11:00,854c81be655a76a77d71af1538400416a2ca3f6996d0cf1bdec4a8cee7b5f6fb
.\Video\018.AVI,1998-10-30 10:37:58+11:00,34b57b16a67d71f35bb0ff69ad63b64d48c4468963b3331a60ea9cbe2c118f0a
.\Video\019.AVI,1998-10-30 10:37:50+11:00,7af723335dd7c34c8735fa3b7562b24644216aa71efc0d32b7093715a7635717
.\Video\020.AVI,1998-10-30 10:37:42+11:00,eb820fc056f6a36671a2b56fa54a9537839457e8f9c22e22c4ce96ffb805f945
.\Video\021.AVI,1999-05-11 22:26:20+10:00,8bb07422b742fffefb4aca41ca6d7a12d96453621c158311331729b61a768b7e
.\Video\022.avi,1998-11-12 01:08:34+11:00,a5da381a931f4cbcb214e5c563f008a5ff7982b026e7f5121fbf945d47b7eda3
.\Video\LOGO.AVI,1999-05-11 22:26:32+10:00,8ef2314465ce25705fee2b5e1921e17377bbfa05521f19004c8dd39955b24867
.\autorun.inf,1999-08-26 21:37:50+10:00,2f6768d984a48cfbef9ad967f7968bd408eb2566c9476b933637e998d1a63829
.\Copyright.txt,1999-08-26 21:37:46+10:00,59001467554676c9e45f93b8547a8b110367149e5cd025bece5bd96efc044d3e
.\DSETUP.DLL,1998-07-30 04:00:06+10:00,7e298d66fa35599562b7bcfa4c8cb775871438e350d7b6564255dd4a396ee43d
.\DSETUP16.DLL,1998-07-30 04:00:06+10:00,dccc4bca90247f86f34fc4547c913ed81cd70d1e8afecf6899d1521a837f7b46
.\DSETUP32.DLL,1998-07-30 04:00:06+10:00,a088fb2c3dd3caa573e9d678d97cb79489bb71d2416ecc9c52a1669b7cf541d3
.\Gamesarena.url,1999-08-26 20:45:00+10:00,b5e55de7b13ccd865a9e1fe8e6b0b386a2b35379da3844d804cfbbd66d808baa
.\grp.fat,1998-11-12 00:59:26+11:00,e549132d9ce28074ce956986d76acb393b74b941a3f1ffd4e7e95ff95f0f187a
.\HomePage.url,1998-11-12 01:41:10+11:00,b071c3e90532bb56bb9591dc6e2b1082c71018272b36905538f62823b56b0313
.\Licence.txt,1999-08-26 21:37:38+10:00,520982d8cdc1ca2de5f0041e9d92fa5306fd05e769db816419419391e229e1c0
.\Pocketprice.url,1999-08-26 20:51:32+10:00,ec7c3d8f607a2c97af7c5b7acbb96d287c8ca7a1df6ae985ee52c588c5491ffb
.\Readme.txt,1999-08-26 21:37:32+10:00,851cdfecfbfcf220c1fe752c5bb49c47e2218f2ffad2f6a8f080cefaf3ff3a4a
